"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P12","GX-3P-3.81MM","92.075mm","100.203mm","95.885mm","100.203mm","95.885mm","100.203mm","T","180.00","Header 3"
"P11","GX-3P-3.81MM","110.871mm","111.379mm","114.681mm","111.379mm","114.681mm","111.379mm","T","180.00","Header 3"
"P10","GX-3P-3.81MM","110.871mm","100.203mm","114.681mm","100.203mm","114.681mm","100.203mm","T","180.00","Header 3"
"P9","GX-3P-3.81MM","129.667mm","111.379mm","133.477mm","111.379mm","133.477mm","111.379mm","T","180.00","Header 3"
"P8","GX-3P-3.81MM","129.667mm","100.203mm","133.477mm","100.203mm","133.477mm","100.203mm","T","180.00","Header 3"
"P7","GX-3P-3.81MM","148.717mm","111.379mm","152.527mm","111.379mm","152.527mm","111.379mm","T","180.00","Header 3"
"P6","GX-3P-3.81MM","148.463mm","100.203mm","152.273mm","100.203mm","152.273mm","100.203mm","T","180.00","Header 3"
"P5","GX-3P-3.81MM","165.1mm","100.965mm","165.1mm","97.155mm","165.1mm","97.155mm","T","90.00","Header 3"
"P4","GX-3P-3.81MM","164.846mm","87.503mm","164.846mm","83.693mm","164.846mm","83.693mm","T","90.00","Header 3"
"P3","GX-3P-3.81MM","164.719mm","73.914mm","164.719mm","70.104mm","164.719mm","70.104mm","T","90.00","Header 3"
"P2","GX-3P-3.81MM","39.37mm","73.914mm","39.37mm","77.724mm","39.37mm","77.724mm","T","270.00","Header 3"
"P1","GX-2P-3.81MM","49.53mm","111.125mm","51.435mm","111.125mm","51.435mm","111.125mm","T","180.00","Header 2"
"L2","0805_L","153.924mm","60.0583mm","153.924mm","60.0583mm","153.034mm","60.0583mm","T","360.00","600次 ㊣20% @100MHz"
"L1","L5020","55.245mm","91.313mm","55.245mm","91.313mm","53.395mm","91.313mm","T","360.00","3.3uH  ㊣20%"
"IC1","SSOP-28_208mil","143.383mm","54.864mm","143.383mm","54.864mm","139.933mm","59.089mm","T","270.00","FT232RL"
"D31","0603_LED_S1","159.3411mm","46.99mm","159.3411mm","46.99mm","160.1111mm","46.99mm","T","360.00","綻腑 0603"
"D30","0603_LED_S1","149.471mm","46.99mm","149.471mm","46.99mm","150.241mm","46.99mm","T","360.00","綻腑 0603"
"D29","0603_LED_S1","139.6009mm","46.99mm","139.6009mm","46.99mm","140.3709mm","46.99mm","T","360.00","綻腑 0603"
"D28","0603_LED_S1","129.7308mm","46.99mm","129.7308mm","46.99mm","130.5008mm","46.99mm","T","360.00","綻腑 0603"
"D27","0603_LED_S1","119.8606mm","46.99mm","119.8606mm","46.99mm","120.6306mm","46.99mm","T","360.00","綻腑 0603"
"D26","0603_LED_S1","109.9905mm","46.99mm","109.9905mm","46.99mm","110.7605mm","46.99mm","T","360.00","綻腑 0603"
"D25","0603_LED_S1","100.1204mm","46.99mm","100.1204mm","46.99mm","100.8904mm","46.99mm","T","360.00","綻腑 0603"
"D24","0603_LED_S1","90.2503mm","46.99mm","90.2503mm","46.99mm","91.0203mm","46.99mm","T","360.00","綻腑 0603"
"D23","0603_LED_S1","80.3802mm","46.99mm","80.3802mm","46.99mm","81.1502mm","46.99mm","T","360.00","綻腑 0603"
"D22","0603_LED_S1","70.51mm","46.99mm","70.51mm","46.99mm","71.28mm","46.99mm","T","360.00","綻腑 0603"
"D21","0603_LED_S1","60.6399mm","46.99mm","60.6399mm","46.99mm","61.4099mm","46.99mm","T","360.00","綻腑 0603"
"D20","0603_LED_S1","50.7698mm","46.99mm","50.7698mm","46.99mm","51.5398mm","46.99mm","T","360.00","綻腑 0603"
"D19","0603_LED_S1","66.286mm","83.82mm","66.286mm","83.82mm","65.516mm","83.82mm","T","180.00","綻腑 0603"
"D15","0603_LED_S1","103.1875mm","83.82mm","103.1875mm","83.82mm","102.4175mm","83.82mm","T","180.00","綻腑 0603"
"D11","0603_LED_S1","140.335mm","83.82mm","140.335mm","83.82mm","139.565mm","83.82mm","T","180.00","綻腑 0603"
